Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Umbilical hernia,10045458,Umbilical hernia NOS,10045461,Umbilical hernia,10045458,Umbilical hernias,10045459,Abdominal hernias and other abdominal wall conditions,10000073,Gastrointestinal disorders,10017947,ae,AELLT,Umbilical hernia,character
Anemia,10002272,Anaemia,10002034,Anaemias NEC,10002067,Anaemias nonhaemolytic and marrow depression,10002086,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Anemia,character
Anemia of malignant disease,10054311,Anaemia of malignant disease,10049105,Anaemias due to chronic disorders,10052827,Anaemias nonhaemolytic and marrow depression,10002086,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Anemia of malignant disease,character
Coagulation disorder NOS,10009734,Coagulopathy,10009802,Coagulopathies,10053567,Coagulopathies and bleeding diatheses (excl thrombocytopenic),10064477,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Coagulopathy,character
DIC,10012769,Disseminated intravascular coagulation,10013442,Coagulopathies,10053567,Coagulopathies and bleeding diatheses (excl thrombocytopenic),10064477,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Disseminated intravascular coagulation,character
Neutropenic fever,10051312,Febrile neutropenia,10016288,Neutropenias,10029355,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Febrile neutropenia,character
Granulocytopenia severe,10018689,Granulocytopenia,10018687,Neutropenias,10029355,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Granulocytopenia,character
Hyperbilirubinemia,10020582,Hyperbilirubinaemia,10020578,Haemolyses NEC,10018913,Haemolyses and related conditions,10018911,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Hyperbilirubinemia,character
Bilirubinemia,10004705,Hyperbilirubinaemia,10020578,Haemolyses NEC,10018913,Haemolyses and related conditions,10018911,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Bilirubinemia,character
Icterus,10021207,Jaundice,10023126,Haemolyses NEC,10018913,Haemolyses and related conditions,10018911,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Icterus,character
