CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
ACARBOSE,Acarbose,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Alpha glucosidase inhibitors,A10BF
ACEBUTOLOL HYDROCHLORIDE,Acebutolol Hydrochloride,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
ACECLOFENAC,Aceclofenac,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Acetic Acid Derivatives And Related Substances,M01AB
ACENOCOUMAROL,Acenocoumarol,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Vitamin K Antagonists,B01AA
ACETAZOLAMIDE,Acetazolamide,Cardiovascular System,C,Diuretics,C03,,,Carbonic anhydrase inhibitors,S01EC
ACETORPHAN,Acetorphan,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Other Antidiarrheals,A07X,Other Antidiarrheals,A07XA
ACETYLCARNITINE HYDROCHLORIDE,Acetylcarnitine Hydrochloride,Nervous System,N,Psychoanaleptics,N06,"Psychostim., Agents Used For Adhd And Nootropics",N06B,Other Psychostimulants And Nootropics,N06BX
ACETYLCYSTEINE,Acetylcysteine,Respiratory System,R,Cough And Cold Preparations,R05,"Expectorants,Excl Combinations With Cough Suppr.",R05C,Mucolytics,R05CB
ACETYLSALICYLATE LYSINE,Acetylsalicylate Lysine,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Platelet Aggregation Inhibitors Excl. Heparin,B01AC
ACETYLSALICYLIC ACID,Acetylsalicylic Acid,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Other Agents For Local Oral Treatment,A01AD
