STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,TABRANCH,TATRANS,EPOCH
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,1,Screen,Screening Period,Randomized to 4MG,,SCREENING
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,2,Treat A1,"First treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15. Tests as described.",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 1
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,3,Treat A2,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described including Tumor Imaging and CA 19-9 prior to day 28",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 2
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,4,Treat A3,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described not including Tumor Imaging and CA 19-9",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 3
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,5,Treat A2,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described including Tumor Imaging and CA 19-9 prior to day 28",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 4
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,6,Treat A3,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described not including Tumor Imaging and CA 19-9",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 5
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,7,Treat A2,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described including Tumor Imaging and CA 19-9 prior to day 28",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 6
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,8,Treat A3,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described not including Tumor Imaging and CA 19-9",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 7
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,9,Treat A2,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described including Tumor Imaging and CA 19-9 prior to day 28",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 8
EFC10547,TA,4MG Aflibercept,4MG of Aflibercept every 2 weeks along with weekly Gemcitabine approximately,10,Treat A3,"Treatment cycle including Aflibercept on Day 1,15;Gemcitabine on Day 1,8,15,23. Tests as described not including Tumor Imaging and CA 19-9",,"In case of disease progression, unacceptable toxicity, or patient refusal go to FOLLOW-UP Epoch",CYCLE 9
