STUDYID	DOMAIN	TSSEQ	TSGRPID	TSPARMCD	TSPARM	TSVAL	TSVALNF	TSVALCD	TSVCDREF	TSVCDVER	Required
EFC10547	TD	1		ACTSUB	Actual Number of Subjects	273					Y
EFC10547	TD	1		ADAPT	Adaptive Design	N		C49487	CDISC	6/29/2018	Y
EFC10547	TD	1		ADDON	Added on to Existing Treatments	Y		C49488	CDISC	6/29/2018	Y
EFC10547	TD	1		AGEMAX	Planned Maximum Age of Subjects		PINF		ISO 21090		Y
EFC10547	TD	1		AGEMIN	Planned Minimum Age of Subjects	P18Y			ISO 8601		Y
EFC10547	TD	1		BIOSPRET	Biospecimen Retention Contains DNA	SAMPLES NOT RETAINED		C127776	CDISC	6/29/2018	N
EFC10547	TD	1		BLNDSTAT	Blinded Status at SDTM Dataset Generation	N			CDISC		N
EFC10547	TD	1		CITNSTDY	Citation Used in Study	"Study TCD6121 is an ongoing open-label, phase 1, dose-escalation, investigating intravenous aflibercept administered every 2 weeks in combination with weekly intravenous gemcitabine (1000 mg/m², 7 weeks on/1 week off x 1, then 3 weeks on/1 week off every 4 weeks) in subjects with advanced solid malignancies.  Study TED6115/6116 is an ongoing open-label dose-escalation study of aflibercept given in monotherapy in patients with various advanced cancers."					N
EFC10547	TD	1		CMSPSTAT	Commercial Sponsor Status	Y			CDISC		N
EFC10547	TD	1		COMPTRT	Comparative Treatment Name						N
EFC10547	TD	1		CRMDUR	Confirmed Response Minimum Duration	P4W			ISO 8601		Y
EFC10547	TD	1		CSRARDTC	Clinical Study Report Archive Date						N
EFC10547	TD	1		CURTRT	Current Therapy or Treatment	GEMCITABINE		B76N6SBZ8R	UNII	10/25/2018	Y
EFC10547	TD	1		DCUTDESC	Data Cutoff Description	The cutoff date for the Overall Survival (OS) will be the date when the required 513 deaths have been observed or study cutoff date.					Y
EFC10547	TD	1		DCUTDTC	Data Cutoff Date	P527D			ISO 8601		Y
EFC10547	TD	1		DGFCRIT	Delayed Graft Function Diagnostic Criteria						N
EFC10547	TD	1		DMCIND	Data Monitoring Committee Indicator	Y		C49488	CDISC	6/29/2018	N
EFC10547	TD	1	AFLIB	DOSE	Dose per Administration	4					Y
EFC10547	TD	2	GEM	DOSE	Dose per Administration	1000					Y
EFC10547	TD	1		DOSFRQ	Dosing Frequency	EVERY 2 WEEKS		C71127	CDISC	6/29/2018	Y
EFC10547	TD	1	AFLIB	DOSU	Dose Units	mg/kg		C67401	CDISC	6/29/2018	Y
EFC10547	TD	2	GEM	DOSU	Dose Units	mg/m2		C67402	CDISC	6/29/2018	Y
EFC10547	TD	1		DXCRIT	Diagnostic Criteria						N
EFC10547	TD	1		EGBLIND	ECG Reading Blinded	Y		C49488	CDISC	6/29/2018	N
EFC10547	TD	1		EGCTMON	ECG Continuous Monitoring	N		C49487	CDISC	6/29/2018	N
EFC10547	TD	1		EGLEADPR	ECG Planned Primary Lead				CDISC		N
