AELLT,AEDECOD
ALP increased,BLOOD ALKALINE PHOSPHATASE INCREASED
Abdominal cramps,ABDOMINAL PAIN
Abdominal discomfort,ABDOMINAL DISCOMFORT
Abdominal distension,ABDOMINAL DISTENSION
Abdominal pain aggravated,ABDOMINAL PAIN
Abdominal pain localized,ABDOMINAL PAIN
Abdominal tenderness,ABDOMINAL TENDERNESS
Adynamia,ASTHENIA
Alanine aminotransferase increased,ALANINE AMINOTRANSFERASE INCREASED
Ankle edema,OEDEMA PERIPHERAL
Anorexia,DECREASED APPETITE
Arthromyalgia,MUSCULOSKELETAL PAIN
Asthenia,ASTHENIA
Back pain,BACK PAIN
Back pain (with radiation),BACK PAIN
Back pain aggravated,BACK PAIN
Bilateral pneumonia,PNEUMONIA
Bilirubinemia,HYPERBILIRUBINAEMIA
Blood pressure high,HYPERTENSION
Blurry vision,VISION BLURRED
Bone pain,BONE PAIN
Bowel motility disorder,GASTROINTESTINAL MOTILITY DISORDER
Bowel obstruction,INTESTINAL OBSTRUCTION
Bronchial infection,BRONCHITIS
Calf pain,PAIN IN EXTREMITY
Cephalgia,HEADACHE
Cholestatic jaundice,JAUNDICE CHOLESTATIC
Clostridium difficile colitis,CLOSTRIDIUM DIFFICILE COLITIS
Cold symptoms,NASOPHARYNGITIS
Colic,ABDOMINAL PAIN
Cramps,MUSCLE SPASMS
Decreased appetite,DECREASED APPETITE
Deep thrombophlebitis,DEEP VEIN THROMBOSIS
Deep vein thrombosis leg,DEEP VEIN THROMBOSIS
Deep venous thrombosis NOS,DEEP VEIN THROMBOSIS
Diarrhea,DIARRHOEA
Dorsal pain,BACK PAIN
Dry cough,COUGH
Dysgeusia,DYSGEUSIA
Dyspepsia,DYSPEPSIA
Dysphonia,DYSPHONIA
Dyspnoea,DYSPNOEA
Edema,OEDEMA
Edema extremities,OEDEMA PERIPHERAL
Edema face,FACE OEDEMA
Edema legs,OEDEMA PERIPHERAL
Edema lower limb,OEDEMA PERIPHERAL
Edema of lower extremities,OEDEMA PERIPHERAL
Edematous feet,OEDEMA PERIPHERAL
Elevated liver enzymes,HEPATIC ENZYME INCREASED
Embolism lung,PULMONARY EMBOLISM
Emesis,VOMITING
Epigastralgia,ABDOMINAL PAIN UPPER
Eructation,ERUCTATION
Erythema,ERYTHEMA
Exanthem,RASH
Exanthema,RASH
Exsiccosis,DEHYDRATION
Fatigue aggravated,FATIGUE
Febricula,PYREXIA
Feeling of fullness in abdomen,ABDOMINAL DISTENSION
Fever chills,PYREXIA
Fever of unknown origin,PYREXIA
Flank pain,FLANK PAIN
Flatus,FLATULENCE
Flu-like illness,INFLUENZA LIKE ILLNESS
Foot drop,PERONEAL NERVE PALSY
Foot edema,OEDEMA PERIPHERAL
Frontal headache,HEADACHE
Gastralgia,ABDOMINAL PAIN UPPER
Gastric pain,ABDOMINAL PAIN UPPER
Gastroesophageal reflux,GASTROOESOPHAGEAL REFLUX DISEASE
Gastrointestinal discomfort,ABDOMINAL DISCOMFORT
General body pain,PAIN
Hematemesis,HAEMATEMESIS
Hemorrhoids,HAEMORRHOIDS
Hepatic enzyme increased,HEPATIC ENZYME INCREASED
Herpes labialis,ORAL HERPES
Hiccough,HICCUPS
Hoarseness,DYSPHONIA
Hypertension aggravated,HYPERTENSION
Hypertension arterial,HYPERTENSION
Hypochondrial pain,ABDOMINAL PAIN UPPER
Hyporexia,DECREASED APPETITE
Hypoxia,HYPOXIA
Iliac fossa pain,ABDOMINAL PAIN LOWER
Influenza,INFLUENZA
Insomnia exacerbated,INSOMNIA
Intermittent fever,PYREXIA
Intermittent headache,HEADACHE
Interstitial pneumonitis,INTERSTITIAL LUNG DISEASE
Intervertebral disc degeneration,INTERVERTEBRAL DISC DEGENERATION
Ischemic stroke,ISCHAEMIC STROKE
Itching,PRURITUS
Jaundice,JAUNDICE
Joint pain,ARTHRALGIA
Knee pain,ARTHRALGIA
Left deep vein thrombosis,DEEP VEIN THROMBOSIS
Left lower quadrant pain,ABDOMINAL PAIN LOWER
Left upper quadrant pain,ABDOMINAL PAIN UPPER
Leg edema,OEDEMA PERIPHERAL
Leg oedema,OEDEMA PERIPHERAL
Leg pain,PAIN IN EXTREMITY
Leucocytopenia,LEUKOPENIA
Leukopenia,LEUKOPENIA
