CMDECOD,CMCAT,CMSCAT
ACARBOSE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACEBUTOLOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACECLOFENAC,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACENOCOUMAROL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETAZOLAMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETORPHAN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETYLCARNITINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETYLCYSTEINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETYLSALICYLATE LYSINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
ACETYLSALICYLATE LYSINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACETYLSALICYLIC ACID,MEDICATION OTHER THAN THERAPY,ANALGESIC
ACETYLSALICYLIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACICLOVIR,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ACICLOVIR SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ADEMETIONINE,MEDICATION OTHER THAN THERAPY,ANALGESIC
ADEMETIONINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AKTIFERRIN                         /00631201/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALBUMIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALENDRONATE SODIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALFUZOSIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALFUZOSIN HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALGIFEN                            /02342601/,MEDICATION OTHER THAN THERAPY,ANALGESIC
ALISKIREN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALIZAPRIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALIZAPRIDE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALKONIUM BROMIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALLEGRA-D                          /01367401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALLERGY MEDICATION,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALLIUM SATIVUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALLOPURINOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALPRAZOLAM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ALUPENT-SED,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMBROXOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMBROXOL HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMIKACIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMIKACIN SULFATE,MEDICATION OTHER THAN THERAPY,ANALGESIC
AMIKACIN SULFATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMINOCAPROIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMINOSTERIL                        /02808501/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMITRIPTYLINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMITRIPTYLINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,ANALGESIC
AMITRIPTYLINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMLODIPINE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMLODIPINE BESILATE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMOXICILLIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMOXICILLIN W/CLAVULANATE POTASSIUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMPHOTERICIN B,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
AMPICILLIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ANCATROPINE                        /00303401/,MEDICATION OTHER THAN THERAPY,ANALGESIC
ANEMIDOX FERRUM,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ANTACIDS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ANTIBIOTICS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ANTIEPILEPTICS,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ANTINEOPLASTIC AGENTS,ANTI-TUMOR THERAPY,CHEMOTHERAPY
ANTIVIRALS FOR SYSTEMIC USE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
APOREX,MEDICATION OTHER THAN THERAPY,ANALGESIC
APREPITANT,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ARGININE-SORBITOL,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ARIPIPRAZOLE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ARTICAINE HYDROCHLORIDE,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ASCORBIC ACID,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ASCORUTIN,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
ASPARCAM                           /02144401/,MEDICATION OTHER THAN THERAPY,MEDICATION OTHER THAN THERAPY
