CODELISTCODE,CODELISTITEMCODE,CODELISTNAME,RANK,CODEDVALUE,TRANSLATED,TYPE,CODELISTDICTIONARY,CODELISTVERSION,ORDERNUMBER,,,
C66767,C49503,ACN,1,DOSE INCREASED,DOSE INCREASED,text,,,1,,,
C66767,C49504,ACN,2,DOSE NOT CHANGED,DOSE NOT CHANGED,text,,,2,,,
C66767,C49505,ACN,3,DOSE REDUCED,DOSE REDUCED,text,,,3,,,
C66767,C49501,ACN,4,DRUG INTERRUPTED,DRUG INTERRUPTED,text,,,4,,,
C66767,C49502,ACN,5,DRUG WITHDRAWN,DRUG WITHDRAWN,text,,,5,,,
C66767,C48660,ACN,6,NOT APPLICABLE,NA,text,,,6,,,
C66767,C17998,ACN,7,UNKNOWN,U; Unknown,text,,,7,,,
,,AEREL,1,NOT RELATED,NOT RELATED,text,,,1,,,
,,AEREL,2,POSSIBLY RELATED,POSSIBLY RELATED,text,,,2,,,
,,AEREL,3,PROBABLY RELATED,PROBABLY RELATED,text,,,3,,,
C66796,C41338,AESEV,1,MILD,Grade 1; 1,text,,,1,,,
C66796,C41339,AESEV,2,MODERATE,Grade 2; 2,text,,,2,,,
C66796,C41340,AESEV,3,SEVERE,Grade 3; 3,text,,,3,,,
C66781,C29848,AGEU,1,YEARS,YEARS,text,,,1,,,
,,ARM,1,Analgezia HCL 30 mg,Analgezia HCL 30 mg,text,,,1,,,
,,ARM,2,Placebo,Placebo,text,,,2,,,
,,ARMN,1,1,Analgezia HCL 30 mg,integer,,,1,,,
,,ARMN,2,0,Placebo,integer,,,2,,,
,,ARMCD,1,ALG123,Analgezia HCL 30 mg,text,,,1,,,
,,ARMCD,2,PLACEBO,Placebo,text,,,2,,,
,,COUNTRY,1,USA,UNITED STATES,text,,,1,,,
C66731,C16576,SEX,1,F,FEMALE,text,,,1,,,
C66731,C20197,SEX,2,M,MALE,text,,,2,,,
C66731,C17998,SEX,3,U,UNKNOWN,text,,,3,,,
,,VISIT,1,Baseline,Baseline,text,,,1,,,
,,VISIT,2,Month 3,Month 3,text,,,2,,,
,,VISIT,3,Month 6,Month 6,text,,,3,,,
,,VISITNUM,1,0,Baseline,text,,,1,,,
,,VISITNUM,2,1,Month 3,text,,,2,,,
,,VISITNUM,3,2,Month 6,text,,,3,,,
,,YN,2,Y,YES,text,,,2,,,
,,YN,1,N,NO,text,,,1,,,
,,TRT01PN,2,1,Analgezia HCL 30 mg,integer,,,2,,,
,,TRT01PN,1,0,Placebo,integer,,,1,,,
,,PAINSCORE,0,0,None,integer,,,0,,,
,,PAINSCORE,1,1,Mild,integer,,,1,,,
,,PAINSCORE,2,2,Moderate,integer,,,2,,,
,,PAINSCORE,3,3,Severe,integer,,,3,,,
,,AVISITN,1,0,Baseline,integer,,,1,,,
,,AVISITN,2,3,Month 3,integer,,,2,,,
,,AVISITN,3,6,Month 6,integer,,,3,,,
,,AERELN,1,0,NOT RELATED,integer,,,1,,,
,,AERELN,2,1,POSSIBLY RELATED,integer,,,2,,,
,,AERELN,3,2,PROBABLY RELATED,integer,,,3,,,
,,AESEVN,1,1,Mild,integer,,,1,,,
,,AESEVN,2,2,Moderate,integer,,,2,,,
,,AESEVN,3,3,Severe,integer,,,3,,,
,,RELGR1N,1,0,Not related,integer,,,1,,,
,,RELGR1N,1,1,Related,integer,,,1,,,
,,EVNTDESC,1,PAIN RELIEF,Pain relief,text,,,1,,,
,,EVNTDESC,2,PAIN WORSENING PRIOR TO RELIEF,Pain worsening prior to relief,text,,,2,,,
,,EVNTDESC,3,PAIN ADVERSE EVENT PRIOR TO RELIEF,Pain adverse event prior to relief,text,,,3,,,
,,EVNTDESC,4,NO RELIEF AND NO WORSENING AT LAST ASSESSMENT,No relief and no worsening at last assessment,text,,,4,,,
,,RELGR1,1,Not related,Not related,text,,,1,,,
,,RELGR1,2,Related,Related,text,,,2,,,
,,CRIT1VALUES,1,Pain improvement from baseline of at least 2 points,Pain improvement from baseline of at least 2 points,text,,,1,,,
,,CENSOR,1,0,Pain relief,integer,,,1,,,
,,CENSOR,2,1,Pain worsening prior to relief,integer,,,2,,,
,,CENSOR,3,2,Pain adverse event prior to relief,integer,,,3,,,
,,CENSOR,4,3,No relief and no worsening at last assessment,integer,,,4,,,
,,ADEF.PARAM,1,Pain Score,Pain Score,text,,,1,,,
,,ADEF.PARAMCD,1,XPPAIN,Pain Score,text,,,1,,,
,,ADTTE.PARAM,1,Time to first pain relief,Time to first pain relief,text,,,1,,,
,,ADTTE.PARAMCD,1,TTPNRELF,Time to first pain relief,text,,,1,,,
,,ADEF.CRIT1,1,Pain improvement from baseline of at least 2 points,Pain improvement from baseline of at least 2 points,text,,,1,,,
,,FLAGS,1,Y,Yes,text,,,1,,,
,,AGEGR1N,1,1,<55 Years,integer,,,1,,,
,,AGEGR1N,2,2,>=55 Years,integer,,,2,,,
,,AGEGR1,1,<55 YEARS,<55 Years,text,,,1,,,
,,AGEGR1,2,>=55 YEARS,>=55 Years,text,,,2,,,
C74457,C16352,RACE,1,BLACK OR AFRICAN AMERICAN,BLACK OR AFRICAN AMERICAN,text,,,1,,,
C74457,C41260,RACE,2,ASIAN,ASIAN,text,,,2,,,
C74457,C41261,RACE,3,WHITE,WHITE,text,,,3,,,
