CODELISTNAME,RANK,CODEDVALUE,TRANSLATED,TYPE,CODELISTDICTIONARY,CODELISTVERSION,ORDERNUMBER,sourcedataset,sourcevariable,sourcevalue,sourcetype
ACN,1,DOSE INCREASED,DOSE INCREASED,text,SDTM Terminology,10/6/2014,,,,,character
ACN,2,DOSE NOT CHANGED,DOSE NOT CHANGED,text,SDTM Terminology,10/6/2014,,,,,character
ACN,3,DOSE RATE REDUCED,DOSE RATE REDUCED,text,SDTM Terminology,10/6/2014,,,,,character
ACN,4,DOSE REDUCED,DOSE REDUCED,text,SDTM Terminology,10/6/2014,,,,,character
ACN,5,DRUG INTERRUPTED,DRUG INTERRUPTED,text,SDTM Terminology,10/6/2014,,,,,character
ACN,6,DRUG WITHDRAWN,DRUG WITHDRAWN,text,SDTM Terminology,10/6/2014,,,,,character
ACN,7,NOT APPLICABLE,NOT APPLICABLE,text,SDTM Terminology,10/6/2014,,,,,character
ACN,8,UNKNOWN,UNKNOWN,text,SDTM Terminology,10/6/2014,,,,,character
AESEV,1,MILD,MILD,text,SDTM Terminology,10/6/2014,,,,,character
AESEV,2,MODERATE,MODERATE,text,SDTM Terminology,10/6/2014,,,,,character
AESEV,3,SEVERE,SEVERE,text,SDTM Terminology,10/6/2014,,,,,character
AGEU,1,DAYS,DAYS,text,SDTM Terminology,10/6/2014,,,,,character
AGEU,2,HOURS,HOURS,text,SDTM Terminology,10/6/2014,,,,,character
AGEU,3,MONTHS,MONTHS,text,SDTM Terminology,10/6/2014,,,,,character
AGEU,4,WEEKS,WEEKS,text,SDTM Terminology,10/6/2014,,,,,character
AGEU,5,YEARS,YEARS,text,SDTM Terminology,10/6/2014,,,,,character
BESTRESP,1,CR,CR,text,,,,,,,character
BESTRESP,2,CRi,CRi,text,,,,,,,character
BESTRESP,3,CYTOGENETIC CR,CYTOGENETIC CR,text,,,,,,,character
BESTRESP,4,DISEASE TRANSFORMATION,DISEASE TRANSFORMATION,text,,,,,,,character
BESTRESP,5,NE,NE,text,,,,,,,character
BESTRESP,6,NON-CR/NON-PD,NON-CR/NON-PD,text,,,,,,,character
BESTRESP,7,NON-PD,NON-PD,text,,,,,,,character
BESTRESP,8,nPR,nPR,text,,,,,,,character
BESTRESP,9,PD,PD,text,,,,,,,character
BESTRESP,10,PR,PR,text,,,,,,,character
BESTRESP,11,sCR,sCR,text,MedDRA,21.1,,,,,character
BESTRESP,12,SD,SD,text,MedDRA,21.1,,,,,character
BESTRESP,13,VGPR,VGPR,text,MedDRA,21.1,,,,,character
BONERESP,1,NE,NE,text,MedDRA,21.1,,,,,character
BONERESP,2,NED,NED,text,MedDRA,21.1,,,,,character
BONERESP,3,NON-PD,NON-PD,text,MedDRA,21.1,,,,,character
