MHTERM,Lowest_Level_Term,Preferred_Term,High_Level_Term,High_Level_Group_Term,Body_System_Or_Organ_Class,AESOC
ALT increased,ALT increased,Alanine aminotransferase increased,Liver function analyses,Hepatobiliary investigations,Investigations,Investigations
Abdominal aortic aneurysm,Aortic aneurysm,Aortic aneurysms and dissections,Aneurysms and artery dissections,Aneurysms and artery dissections,Vascular disorders,Vascular disorders
Abdominal bloating,Abdominal bloating,Abdominal distension,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Abdominal distension,Distended abdomen,Abdominal distension,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Abdominal pain,Pain abdominal,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Abdominal pain NOS,Abdominal pain NOS,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Abdominal pain localized,Abdominal pain localized,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Abnormal glucose tolerance,Abnormal glucose tolerance,Glucose tolerance impaired,Hyperglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders,Metabolism and nutrition disorders
Abscess breast,Abscess breast,Breast abscess,Postpartum breast disorders,Postpartum and puerperal disorders,"Pregnancy, puerperium and perinatal conditions","Pregnancy, puerperium and perinatal conditions"
Acne,Acne NOS,Acne,Acnes,Skin appendage conditions,Skin and subcutaneous tissue disorders,Skin and subcutaneous tissue disorders
Acoustic neuroma,Acoustic neurinoma,Acoustic neuroma,Neuromas,Nervous system neoplasms benign,Nervous system disorders,Nervous system disorders
Acute hepatitis A,Acute hepatitis A,Hepatitis A,Hepatitis viral infections,Viral infectious disorders,Infections and infestations,Infections and infestations
Acute pancreatitis,Acute pancreatitis,Pancreatitis acute,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastrointestinal disorders,Gastrointestinal disorders
Adipositas,Adipositas,Obesity,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Adnexectomy,Adnexectomy,Salpingo-oophorectomy,Fallopian tube therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Alcohol abuse,"Alcohol abuse, unspecified drinking behaviour",Alcohol abuse,Substance related and addictive disorders,Psychiatric disorders NEC,Psychiatric disorders,Psychiatric disorders
Alcoholism,Alcohol addiction,Alcoholism,Substance related and addictive disorders,Psychiatric disorders NEC,Psychiatric disorders,Psychiatric disorders
Alkaline phosphatase increased,Alkaline phosphatase increased,Blood alkaline phosphatase increased,Tissue enzyme analyses NEC,Enzyme investigations NEC,Investigations,Investigations
Allergic asthma,Allergic asthma,Asthma,Allergic conditions NEC,Allergic conditions,Immune system disorders,Immune system disorders
Allergic reaction to antibiotics,Allergic reaction to antibiotics,Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immune system disorders,Immune system disorders
Allergic rhinitis,Allergic rhinitis,Rhinitis allergic,Atopic disorders,Allergic conditions,Immune system disorders,Immune system disorders
Allergy,Allergy,Hypersensitivity,Allergic conditions NEC,Allergic conditions,Immune system disorders,Immune system disorders
Allergy to intravenous contras,Allergy to intravenous contrast media,Contrast media allergy,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Amylase increased,Blood amylase increased,Amylase increased,Digestive enzymes,Gastrointestinal investigations,Investigations,Investigations
Anaemia,Anaemia NOS,Anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Anemia,Anemia,Anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Anemia of malignant disease,Anemia of malignant disease,Anaemia of malignant disease,Anaemias due to chronic disorders,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders,Blood and lymphatic system disorders
Aneurysm cerebral,Aneurysm cerebral,Intracranial aneurysm,Cerebrovascular aneurysms and dissections,Aneurysms and artery dissections,Vascular disorders,Vascular disorders
Aneurysm of ascending aorta,Aneurysm of ascending aorta,Aortic aneurysm,Aortic aneurysms and dissections,Aneurysms and artery dissections,Vascular disorders,Vascular disorders
Angina pectoris,Anginal pain,Angina pectoris,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Ankle edema,Ankle edema,Oedema peripheral,Total fluid volume increased,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Ankle fracture,Fracture of ankle,Ankle fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Anorexia,Anorexia,Decreased appetite,Appetite disorders,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Anterior rectum resection,Anterior rectum resection,Proctectomy,Anorectal therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Anxiety,Apprehension,Anxiety,Anxiety symptoms,Anxiety disorders and symptoms,Psychiatric disorders,Psychiatric disorders
Anxiodepressive syndrome,Anxiodepressive syndrome,Depression,Depressive disorders,Depressed mood disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Aortic dilatation,Aortic ectasia,Aortic dilatation,Site specific vascular disorders NEC,Vascular disorders NEC,Vascular disorders,Vascular disorders
Aortic sclerosis,Aortic sclerosis,Aortic arteriosclerosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Aortic stenosis,Aortic stricture,Aortic stenosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Appendectomy,Appendectomy,Appendicectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Appendicectomy,Appendectomy,Appendicectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Appendicitis,"Appendicitis, unqualified",Appendicitis,Intestinal infections,Gastrointestinal infections,Gastrointestinal disorders,Gastrointestinal disorders
Appetite decreased NOS,Appetite decreased NOS,Decreased appetite,Appetite disorders,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Appetite lost,Appetite lost,Decreased appetite,Appetite disorders,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Arm fracture,Arm fracture,Upper limb fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Arm operation,Arm operation,Limb operation,Limb therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Arrhythmia,Arrhythmia NOS,Arrhythmia,Rate and rhythm disorders NEC,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Arterial graft,Arterial graft NOS,Arterial graft,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Arterial thrombosis limb,Arterial thrombosis limb,Peripheral artery thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vascular disorders,Vascular disorders
Arthralgia,Pain joint,Arthralgia,Joint related signs and symptoms,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
